LIGGGHTS (Version LIGGGHTS-PUBLIC 3.8.0, compiled 2024-03-31-20:10:17 by buildd, git commit unknown)
Reading data file ...
  orthogonal box = (-1 -1 -1) to (1 7 1)
  1 by 1 by 1 MPI processor grid
  100 atoms

Reading STL file 'wall.stl' (mesh processing step 1/3) 
Setting up run at Sun Mar 15 12:26:25 2026

Mesh cad: 1 elements have high aspect ratio (soft limit: smallest angle > 0.500000 ° required)
WARNING: Fix mesh: Mesh contains highly skewed element, moving mesh (if used) will not parallelize well (./src/surface_mesh_I.h:657)
WARNING: Mesh cad: proc 0 has 1 element pairs that are coplanar, share an edge and overlap (but are not duplicate)
Import and parallelization of mesh cad containing 2498 triangle(s) successful
Memory usage per processor = 14.4494 Mbytes
    Step    Atoms         KinEng            CPU 
  197000      100       5.045672      19.056257 
  198000      100      5.0243834      19.161545 
  199000      100       5.086563      19.267625 
  200000      100      5.1416941      19.376332 
  201000      100      5.1918969       19.48369 
  202000      100      5.2202093        19.5914 
  203000      100      5.2764499      19.704673 
  204000      100      5.2921508      19.809695 
  205000      100      5.3382601       19.91332 
  206000      100      5.3697024      20.017822 
  207000      100        5.42414        20.1242 
  208000      100       5.459769      20.226152 
  209000      100      5.5186687      20.333463 
  210000      100      5.5528334      20.439304 
  211000      100      5.5821329      20.541546 
  212000      100       5.595721      20.646363 
  213000      100      5.6064154      20.753188 
  214000      100      5.6625253      20.852393 
  215000      100       5.655356      20.952803 
  216000      100      5.6849845      21.052754 
  217000      100      5.7118563      21.154862 
  218000      100      5.7454108      21.254717 
  219000      100      5.8093142      21.354781 
  220000      100      5.8245889      21.456339 
  221000      100      5.8653197      21.558319 
  222000      100      5.9166142      21.658768 
  223000      100       6.012172      21.759066 
  224000      100      6.0643995      21.857091 
  225000      100      6.1159977      21.956439 
  226000      100       6.175174      22.055439 
  227000      100      6.2378453      22.152729 
  228000      100       6.279687       22.25397 
  229000      100      6.3352783      22.355051 
  230000      100        6.41985      22.454847 
  231000      100      6.4803482      22.557509 
  232000      100      6.5231144      22.662225 
  233000      100      6.5582294      22.761395 
  234000      100      6.6339351      22.863575 
  235000      100       6.682805      22.966111 
  236000      100      6.7245749      23.065684 
  237000      100      6.8005358      23.167981 
  238000      100      6.8249919      23.268934 
  239000      100      6.8704923      23.374127 
  240000      100       6.914727      23.473089 
  241000      100      6.8785486      23.576363 
